"","TransitionGroupID","Model_Code","annual_probability","BpS_Name","...1","BLUE","ACRES","REL_PERCENT","annual_dist_acres"
"45","All Fire","11070_15",0.0260746,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",27,0.874509804,3945,0.3,102.864297
"46","All Fire","11070_23_24",0.025984,"Rocky Mountain Gambel Oak-Mixed Montane Shrubland",67,0.874509804,365,0,9.48416
"47","All Fire","11080_4_5_13_14_15_24_25",0.0122214,"Sonora-Mojave Semi-Desert Chaparral",16,0.678431373,12019,1,146.8890066
"48","All Fire","11090_15_25",0.00095,"Sonoran Paloverde-Mixed Cacti Desert Scrub",75,0.960784314,406,0,0.3857
"49","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",28,0.266666667,3307,0.3,50.9826962
"50","All Fire","11150_15_16_23_24",0.0154166,"Inter-Mountain Basins Juniper Savanna",68,0.266666667,55,0,0.847913
"51","All Fire","11160_15_25",0.0216964,"Madrean Juniper Savanna",76,0.560784314,455,0,9.871862
"52","All Fire","11170_13_15_28",0.0922292,"Southern Rocky Mountain Ponderosa Pine Savanna",45,0,1528,0.1,140.9262176
"53","All Fire","11170_16_23_24",0.1244826,"Southern Rocky Mountain Ponderosa Pine Savanna",69,0,21,0,2.6141346
"54","All Fire","11210_15",0.1262176,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",77,0.847058824,112,0,14.1363712
"55","All Fire","11210_24",0.1238776,"Apacherian-Chihuahuan Semi-Desert Grassland and Steppe",70,0.847058824,0,0,0
"56","All Fire","11261_16_23_24",0.0203804,"Inter-Mountain Basins Montane Sagebrush Steppe - Mountain Big Sagebrush",51,0.662745098,36,0,0.7336944
"57","All Fire","11270_15",0.0084802,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",9,0.843137255,50533,4.2,428.5299466
"58","All Fire","11270_16_23_24_25",0.0094344,"Inter-Mountain Basins Semi-Desert Shrub-Steppe",71,0.843137255,336,0,3.1699584
"59","All Fire","11350_15_28",0.0400448,"Inter-Mountain Basins Semi-Desert Grassland",78,0.82745098,449,0,17.9801152
"60","All Fire","11350_16_23_24",0.0399014,"Inter-Mountain Basins Semi-Desert Grassland",38,0.82745098,1175,0.1,46.884145
"61","All Fire","11460_15_16_23_24_25_28",0.1000288,"Southern Rocky Mountain Montane-Subalpine Grassland",46,0.698039216,1022,0.1,102.2294336
"62","All Fire","11530_16_23_24_25_27",0.0047642,"Inter-Mountain Basins Greasewood Flat",72,0.882352941,1,0,0.0047642
"63","All Fire","11550_15",0.013255,"North American Warm Desert Riparian Systems",47,0.458823529,890,0.1,11.79695
"64","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",48,0.458823529,1120,0.1,1.53664
"65","All Fire","11552_13_14_15",0.001372,"North American Warm Desert Riparian Systems - Stringers",55,0.458823529,488,0,0.669536
"66","All Fire","11590_15",0.151441,"Rocky Mountain Montane Riparian Systems",21,0.364705882,8195,0.7,1241.058995
"67","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",39,0.364705882,881,0.1,14.6864462
"68","All Fire","11590_16_23_24_26",0.0166702,"Rocky Mountain Montane Riparian Systems",61,0.364705882,0,0,0
"69","All Fire","11600_15_28",0.0163066,"Rocky Mountain Subalpine/Upper Montane Riparian Systems",29,0.654901961,2126,0.2,34.6678316
"70","All Transitions","10110_15",0.0266674,"Rocky Mountain Aspen Forest and Woodland",73,0.450980392,2,0,0.0533348
"71","All Transitions","10160_15_28",0.0266456,"Colorado Plateau Pinyon-Juniper Woodland",2,0.4,175085,14.5,4665.244876
"72","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",34,0.4,752,0.1,18.5568032
"73","All Transitions","10160_16_23_24_25",0.0246766,"Colorado Plateau Pinyon-Juniper Woodland",57,0.4,19,0,0.4688554
"74","All Transitions","10190_13_14",0.0092714,"Great Basin Pinyon-Juniper Woodland",53,0,64,0,0.5933696
"75","All Transitions","10190_15",0.0092816,"Great Basin Pinyon-Juniper Woodland",18,0,8322,0.7,77.2414752
"76","All Transitions","10230_14_15_24_25",0.0542544,"Madrean Encinal",40,0.517647059,1439,0.1,78.0720816
