"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"29",1215,9561,11600,15,"11600_15_28","Rocky Mountain Subalpine/Upper Montane Riparian Systems","Riparian",273,NA,80,62,23,NA,77,"III-A",49,165,167,0.192156863,0.647058824,0.654901961,2126,0.2
"30",2715,9307,10804,24,"10804_6_12_15_16_17_18_23_24_25","Inter-Mountain Basins Big Sagebrush Shrubland-Upland","Shrubland",120,NA,NA,120,100,NA,NA,"IV-B",255,190,232,1,0.745098039,0.909803922,2070,0.2
"31",398,5519,10870,24,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,1227,0.1
"32",501,3781,10820,13,"10820_4_13","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",399,NA,NA,399,100,NA,NA,"V-A",216,6,73,0.847058824,0.023529412,0.28627451,841,0.1
"33",1111,4605,10010,24,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,1024,0.1
"34",1114,3380,10160,24,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,752,0.1
"35",1124,3920,10640,24,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,NA,79,33,67,NA,"III-A",158,170,215,0.619607843,0.666666667,0.843137255,872,0.1
"36",1130,3128,11020,24,"11020_13_15_16_23_24","Colorado Plateau Pinyon-Juniper Shrubland","Conifer",333,222,127,65,20,29,51,"III-A",255,0,0,1,0,0,696,0.1
"37",1131,4140,11040,24,"11040_23_24","Mogollon Chaparral","Shrubland",47,370,NA,42,89,11,NA,"IV-A",173,250,211,0.678431373,0.980392157,0.82745098,921,0.1
"38",1140,5283,11350,24,"11350_16_23_24","Inter-Mountain Basins Semi-Desert Grassland","Grassland",25,NA,NA,25,100,NA,NA,"II-C",185,174,211,0.725490196,0.682352941,0.82745098,1175,0.1
"39",1143,3960,11590,24,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,881,0.1
"40",1184,6472,10230,15,"10230_14_15_24_25","Madrean Encinal","Conifer",125,191,33,23,18,13,69,"I-C",0,167,132,0,0.654901961,0.517647059,1439,0.1
"41",1185,4041,10240,15,"10240_14_15_24","Madrean Lower Montane Pine-Oak Forest and Woodland","Conifer",125,191,33,23,19,12,69,"I-C",167,189,30,0.654901961,0.741176471,0.117647059,899,0.1
"42",1186,6889,10250,15,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.62745098,0.415686275,0.121568627,1532,0.1
"43",1199,7313,10910,15,"10910_15","Sonoran Mid-Elevation Desert Scrub","Shrubland",355,NA,NA,355,100,NA,NA,"V-A",176,6,99,0.690196078,0.023529412,0.388235294,1626,0.1
"44",1201,4432,11020,15,"11020_13_15_16_23_24","Colorado Plateau Pinyon-Juniper Shrubland","Conifer",333,222,127,65,20,29,51,"III-A",255,0,0,1,0,0,986,0.1
"45",1207,6872,11170,15,"11170_13_15_28","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",368,NA,11,11,3,NA,97,"I-B",255,85,0,1,0.333333333,0,1528,0.1
"46",1211,4597,11460,15,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,NA,21,10,52,NA,48,"I-B",167,205,178,0.654901961,0.803921569,0.698039216,1022,0.1
"47",1212,4002,11550,15,"11550_15","North American Warm Desert Riparian Systems","Riparian",777,83,NA,75,10,90,NA,"III-A",123,160,117,0.482352941,0.62745098,0.458823529,890,0.1
"48",1213,5038,11552,15,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,NA,NA,735,100,NA,NA,"V-B",84,160,117,0.329411765,0.62745098,0.458823529,1120,0.1
"49",384,1554,10060,15,"10060","Rocky Mountain Alpine/Montane Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,346,0
"50",385,2117,10040,13,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,471,0
"51",399,161,11261,24,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,36,0
"52",488,798,10010,13,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,177,0
"53",492,289,10190,13,"10190_13_14","Great Basin Pinyon-Juniper Woodland","Conifer",474,337,780,157,33,47,20,"III-B",115,76,0,0.450980392,0.298039216,0,64,0
"54",508,2,11030,13,"11030_6_7_12_13_16_17_23","Great Basin Semi-Desert Chaparral","Shrubland",50,NA,NA,50,100,NA,NA,"IV-A",174,250,255,0.682352941,0.980392157,1,0,0
"55",523,2195,11552,13,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,NA,NA,735,100,NA,NA,"V-B",84,160,117,0.329411765,0.62745098,0.458823529,488,0
"56",1006,12,10010,23,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,3,0
"57",1010,84,10160,23,"10160_16_23_24_25","Colorado Plateau Pinyon-Juniper Woodland","Conifer",435,195,2265,127,29,65,6,"III-B",205,170,102,0.803921569,0.666666667,0.4,19,0
"58",1022,24,10640,23,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,NA,79,33,67,NA,"III-A",158,170,215,0.619607843,0.666666667,0.843137255,5,0
"59",1024,81,10780,23,"10780_16_23_24_25","Colorado Plateau Blackbrush-Mormon-tea Shrubland","Shrubland",146,162,NA,77,53,47,NA,"III-A",52,155,207,0.203921569,0.607843137,0.811764706,18,0
"60",1026,9,10810,23,"10810_15_16_23_24_28","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",616,NA,NA,616,100,NA,NA,"V-B",245,202,122,0.960784314,0.792156863,0.478431373,2,0
"61",1043,2,11590,23,"11590_16_23_24_26","Rocky Mountain Montane Riparian Systems","Riparian",270,NA,79,61,23,NA,77,"III-A",123,124,93,0.482352941,0.48627451,0.364705882,0,0
"62",1112,1776,10040,24,"10040","North American Warm Desert Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,242,189,1,0.949019608,0.741176471,395,0
"63",1116,3,10240,24,"10240_14_15_24","Madrean Lower Montane Pine-Oak Forest and Woodland","Conifer",125,191,33,23,19,12,69,"I-C",167,189,30,0.654901961,0.741176471,0.117647059,1,0
"64",1117,25,10250,24,"10250_14_15_24_25_26","Madrean Pinyon-Juniper Woodland","Conifer",136,209,104,46,34,22,44,"III-A",160,106,31,0.62745098,0.415686275,0.121568627,6,0
"65",1126,6,10780,24,"10780_16_23_24_25","Colorado Plateau Blackbrush-Mormon-tea Shrubland","Shrubland",146,162,NA,77,53,47,NA,"III-A",52,155,207,0.203921569,0.607843137,0.811764706,1,0
"66",1129,1365,10930,24,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,304,0
"67",1132,1640,11070,24,"11070_23_24","Rocky Mountain Gambel Oak-Mixed Montane Shrubland","Shrubland",51,150,NA,38,74,26,NA,"III-A",115,255,223,0.450980392,1,0.874509804,365,0
"68",1133,247,11150,24,"11150_15_16_23_24","Inter-Mountain Basins Juniper Savanna","Conifer",333,218,126,64,20,29,51,"III-A",137,112,68,0.537254902,0.439215686,0.266666667,55,0
"69",1135,94,11170,24,"11170_16_23_24","Southern Rocky Mountain Ponderosa Pine Savanna","Conifer",158,80,9,8,5,10,85,"I-B",255,85,0,1,0.333333333,0,21,0
"70",1137,1,11210,24,"11210_24","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",10,NA,42,8,81,NA,19,"II-B",255,221,216,1,0.866666667,0.847058824,0,0
"71",1139,1509,11270,24,"11270_16_23_24_25","Inter-Mountain Basins Semi-Desert Shrub-Steppe","Shrubland",105,NA,NA,105,100,NA,NA,"IV-B",194,158,215,0.760784314,0.619607843,0.843137255,336,0
"72",1142,6,11530,24,"11530_16_23_24_25_27","Inter-Mountain Basins Greasewood Flat","Shrubland",208,NA,NA,208,100,NA,NA,"V-A",225,225,225,0.882352941,0.882352941,0.882352941,1,0
"73",1181,7,10110,15,"10110_15","Rocky Mountain Aspen Forest and Woodland","Hardwood",146,1774,841,116,79,7,14,"IV-B",255,255,115,1,1,0.450980392,2,0
"74",1200,241,11000,15,"11000_15","Chihuahuan Mixed Desert and Thorn Scrub","Shrubland",567,802,NA,332,59,41,NA,"V-A",245,162,122,0.960784314,0.635294118,0.478431373,54,0
"75",1204,1825,11090,15,"11090_15_25","Sonoran Paloverde-Mixed Cacti Desert Scrub","Shrubland",1049,NA,NA,1049,100,NA,NA,"V-B",233,214,245,0.91372549,0.839215686,0.960784314,406,0
"76",1206,2047,11160,15,"11160_15_25","Madrean Juniper Savanna","Conifer",136,208,106,46,34,22,44,"III-A",207,157,143,0.811764706,0.615686275,0.560784314,455,0
"77",1208,502,11210,15,"11210_15","Apacherian-Chihuahuan Semi-Desert Grassland and Steppe","Grassland",10,NA,40,8,80,NA,20,"II-B",255,221,216,1,0.866666667,0.847058824,112,0
"78",1210,2019,11350,15,"11350_15_28","Inter-Mountain Basins Semi-Desert Grassland","Grassland",77,37,NA,25,33,67,NA,"I-C",185,174,211,0.725490196,0.682352941,0.82745098,449,0
