"","Value","Freq","Count","CLASSNAMES","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"58",216,1257,15853090,"Shrub Height = 1.6 meters",159,142,106,0.623529412,0.556862745,0.415686275,280,0
"59",217,869,16568684,"Shrub Height = 1.7 meters",150,128,98,0.588235294,0.501960784,0.384313725,193,0
"60",218,1022,17669937,"Shrub Height = 1.8 meters",140,115,90,0.549019608,0.450980392,0.352941176,227,0
"61",219,793,14202539,"Shrub Height = 1.9 meters",130,101,82,0.509803922,0.396078431,0.321568627,176,0
"62",220,756,18587276,"Shrub Height = 2.0 meters",121,92,70,0.474509804,0.360784314,0.274509804,168,0
"63",221,498,12295477,"Shrub Height = 2.1 meters",112,79,58,0.439215686,0.309803922,0.22745098,111,0
"64",222,447,13335129,"Shrub Height = 2.2 meters",104,68,46,0.407843137,0.266666667,0.180392157,99,0
"65",223,262,10081173,"Shrub Height = 2.3 meters",95,59,36,0.37254902,0.231372549,0.141176471,58,0
"66",224,247,10891914,"Shrub Height = 2.4 meters",89,55,34,0.349019608,0.215686275,0.133333333,55,0
"67",225,164,7385668,"Shrub Height = 2.5 meters",82,51,31,0.321568627,0.2,0.121568627,36,0
"68",226,97,8470983,"Shrub Height = 2.6 meters",75,47,29,0.294117647,0.184313725,0.11372549,22,0
"69",227,54,6337719,"Shrub Height = 2.7 meters",69,42,26,0.270588235,0.164705882,0.101960784,12,0
"70",228,42,6510582,"Shrub Height = 2.8 meters",62,38,24,0.243137255,0.149019608,0.094117647,9,0
"71",229,23,4373514,"Shrub Height = 2.9 meters",56,34,21,0.219607843,0.133333333,0.082352941,5,0
"72",230,108,24747653,"Shrub Height >= 3.0 meters",49,30,19,0.192156863,0.117647059,0.074509804,24,0
"73",301,21993,45690172,"Herb Height = 0.1 meter",204,230,225,0.8,0.901960784,0.882352941,4891,0.4
"74",302,39007,357930043,"Herb Height = 0.2 meter",170,213,205,0.666666667,0.835294118,0.803921569,8675,0.7
"75",303,38394,893522820,"Herb Height = 0.3 meter",136,197,185,0.533333333,0.77254902,0.725490196,8539,0.7
"76",304,5592,397781502,"Herb Height = 0.4 meter",102,180,165,0.4,0.705882353,0.647058824,1244,0.1
"77",305,1556,89385730,"Herb Height = 0.5 meter",68,163,145,0.266666667,0.639215686,0.568627451,346,0
"78",306,519,30207424,"Herb Height = 0.6 meter",37,147,125,0.145098039,0.576470588,0.490196078,115,0
"79",307,115,25580956,"Herb Height = 0.7 meter",0,130,105,0,0.509803922,0.411764706,26,0
"80",308,140,67066487,"Herb Height = 0.8 meter",0,123,122,0,0.482352941,0.478431373,31,0
"81",310,1,181217492,"Herb Height >= 1 meter",0,80,88,0,0.31372549,0.345098039,0,0
